developer_id,developer
1,Valve
2,Gearbox Software
3,Mark Healey
4,Tripwire Interactive
5,Ritual Entertainment
6,Introversion Software
7,Sonalysts
8,Malfador Machinations
9,Strategy First
10,Arkane Studios
11,Reality Pump Studios
12,id Software
13,RavenSoft / id Software
14,Xatrix Entertainment
15,Rogue Entertainment
16,Raven Software
17,Outerlight Ltd.
18,Frozenbyte
19,"CINEMAX, s.r.o."
20,Black Element
21,Troika Games
22,Neversoft
23,Infinity Ward
24,Gray Matter Studios
25,Eugen Systems
26,Iocaine Studios
27,Bohemia Interactive
28,Egosoft
29,Bugbear Entertainment
30,Techland
31,1C Entertainment
32,Katauri Interactive
33,Metamorf
34,Kheops Studio
35,Mindware Studios
36,"PopCap Games, Inc."
37,"Retro64, Inc."
38,SpinTop Games
39,Rebellion
40,Elixir Studios
41,GlyphX Games
42,Terminal Reality
43,Double Fine Productions
44,Firaxis Games
45,PopTop
46,FireFly Studios
47,Facepunch Studios
48,Funkitron
49,SimBin
50,Naked Sky Entertainment
51,Monte Cristo
52,GSC Game World
53,Pandemic Studios
54,Relic Entertainment
55,CREATIVE ASSEMBLY
56,Monolith
57,The Creative Assembly
58,Unknown Worlds Entertainment
59,LucasArts
60,Frontier
61,Planet Moon Studios
62,Klei Entertainment
63,Sick Puppies
64,Deepred
65,Muzzy Lane
66,Artematica Entertainment
67,Funcom
68,Stunlock Studios
69,Most Wanted Entertainment
70,Mithis Games
71,"CAPCOM Co., Ltd."
72,Pyro Studios
73,Io-Interactive A/S
74,Eidos Interactive
75,Avalanche Studios
76,IO Interactive A/S
77,Ion Storm
78,Crystal Dynamics
79,BioWare Corporation
80,Nadeo
81,Pendulo Studios
82,Cyanide Studios
83,Big Fish Games
84,Gaijin Entertainment
85,"MicroProse Software, Inc"
86,Best Way
87,Sky Fallen
88,The Farm 51
89,IO Interactive
90,Pivotal Games
91,Eidos Studio Hungary
92,Telltale Games
93,Bizarre Creations
94,CCP
95,SimBin Studios AB
96,Irrational Games
97,Silver Wish Games
98,Gas Powered Games
99,Kaos Studios
100,Volition
101,Cryptic Sea
102,Spellbound
103,Haggard Games
104,InnoGlow
105,Cryptic Studios
106,Krome Studios
107,ImagineEngline
108,Incinerator Studios
109,Artech Studios
110,Treyarch
111,Sierra
112,Saber Interactive
113,Wanako Games
114,Radical Entertainment
115,Trashmasters
116,Electronic Paradise
117,SPLine
118,Studio4
119,studio4
120,Akella
121,Frogwares
122,Meridian4
123,Buka Entertainment
124,Lesta Studio
125,Frogames
126,IonFX
127,2DEngine.com
128,Triumph Studios
129,KDV Games
130,Deep Red Limited
131,Rockstar Games
132,Rockstar North
133,Remedy Entertainment
134,Rockstar New England
135,Rockstar North / Toronto
136,Momentum Digital Media Technologies
137,Ascaron Entertainment ltd.
138,Deck13
139,Parallax Arts Studio
140,Technetium Games
141,Deck 13
142,Mascot Entertainment
143,Noviy Disk
144,Infinite Interactive
145,Gamebryo
146,SCS Software
147,Zemnott
148,Gabriel Entertainment
149,BigAnt Studios
150,Merscom
151,Radon Labs
152,Virtual Playground
153,Liquid Entertainment
154,Blue Omega Entertainment
155,Codemasters Studios
156,Sanzaru Games
157,U.S. Army
158,"Epic Games, Inc."
159,Ubisoft
160,Crytek Studios
161,Ubisoft Montreal
162,Kudosoft
163,Red Storm Entertainment
164,Ubisoft Bulgaria
165,Nival
166,Ubisoft Romania
167,Darkworks
168,1C: Maddox Games
169,Oxeye Game Studio
170,"Dejobaan Games, LLC"
171,Oddworld Inhabitants
172,Slam
173,MumboJumbo
174,Last Day of Work
175,blurredVision
176,Redlynx
177,Redlynx Ltd
178,Crackpot Entertainment
179,Replay Studios
