publisher_id,publisher
1,Valve
2,Mark Healey
3,Tripwire Interactive
4,Ritual Entertainment
5,Introversion Software
6,Strategy First
7,Arkane Studios
8,Topware Interactive
9,Ubisoft
10,id Software
11,Bethesda Softworks
12,Bethesda-Softworks
13,Blazing Griffin Ltd.
14,Frozenbyte
15,"CINEMAX, s.r.o."
16,Bohemia Interactive
17,Activision
18,THQ Nordic
19,Atari
20,Egosoft
21,Techland
22,Techland Publishing
23,1C Entertainment
24,HandyGames
25,"PopCap Games, Inc."
26,Rebellion
27,Majesco Entertainment
28,Double Fine Productions
29,2K
30,Funkitron
31,SimBin
32,Naked Sky Entertainment
33,Focus Home Interactive
34,GSC Game World
35,SEGA
36,GSC World Publishing
37,Unknown Worlds Entertainment
38,LucasArts
39,Lucasfilm
40,Klei Entertainment
41,Funcom
42,Stunlock Studios
43,HD Publishing
44,Capcom
45,Kalypso Media Digital
46,Io-Interactive A/S
47,Square Enix
48,IO Interactive A/S
49,BioWare Corporation
50,Big Fish Games
51,"Topware Interactive, ACE"
52,Telltale Games
53,CCP
54,Deep Silver
55,Chronic Logic
56,Perfect World Entertainment
57,Krome Studios
58,Retroism
59,Akella
60,Frogwares
61,Meridian4
62,Buka Entertainment
63,Frogames
64,Codemasters
65,Rockstar Games
66,Deck13
67,"D3Publisher of America, Inc."
68,ValuSoft
69,DTP Entertainment
70,Nunchuck Games
71,U.S. Army
72,"Epic Games, Inc."
73,Oxeye Game Studio
74,"Dejobaan Games, LLC"
75,Oddworld Inhabitants
76,Slam
77,MumboJumbo
78,Last Day of Work
79,Warner Bros. Interactive Entertainment
80,blurredVision
81,RedLynx Ltd.
82,Miniclip.com
83,Missing Link Games
84,SouthPeak Games
85,BlackFoot Studios
86,Hi-Rez Studios
87,"Tilted Mill Entertainment, Inc."
88,Electronic Arts
89,Zombie Panic Team
90,Octoshark Studios
91,Iceberg Interactive
92,Empires
93,Hothead Games
94,Futuremark
95,Shorebound Studios
96,Viva Media
97,Black Forest Games
98,Hidden Path Entertainment
99,Inventive Dingo
100,Broken Rules
101,Brian Cronin
102,"Konami Digital Entertainment, Inc."
103,Bounce Entertainment 
104,Silver Sphere Studios
105,Perpetual FX Creative
106,Moonpod
107,PikPok
108,CD PROJEKT RED
109,Dark Castle Software
110,Games Faction
111,Candella Systems Ltd
112,2D BOY 
113,TaleWorlds Entertainment
114,Frictional Games
115,Paradox Interactive
116,ACE Team
117,Three Donkeys LLC
118,Team17 Digital Ltd
119,Red Chain Games Ltd.
120,Assemble Entertainment
121,Soldak Entertainment
122,Dovetail Games - Trains
123,Daybreak Game Company
124,"Bit Blot, LLC"
125,N3V Games
126,Wolfire Games
127,Mindstorm Studios
128,Basilisk Games
129,Playbrains
130,BattleGoat Studios
131,Nitro Games
132,Twisted Pixel Games
133,Paleo Entertainment
134,Number None
135,Kloonigames
136,Tale of Tales
137,Ignition Entertainment
138,Mousechief
139,Red Rocket Games
140,Llamasoft LTD
141,DnS Development
142,KranX Productions
143,Erik Svedäng
144,Hemisphere Games
145,Elecorn
146,ND Games
147,Boll AG
148,HeR Interactive
149,Thinking Studios
150,TrueThought
151,Black Jacket Studios
152,NovaLogic
153,Enlight Software Limited
154,Sigma Team Inc.
155,Revolution Software Ltd
156,Puzzler
157,Zaratustra Productions
158,Valusoft
159,SaintXi
160,Matrix Games/GMX Media
161,Wargaming.net
162,City Interactive S.A.
163,CI Games
164,Game Factory Interactive
165,Frima
166,Digital Eel
167,Sakari Indie
168,Sandlot Games
169,3000AD
170,Ice-Pick Lodge
171,Citeremis Inc.
172,PlayFirst
173,Size Five Games
174,Yullaby
175,Vectorpark
176,Phantom EFX
177,Gamerizon
178,iWin
179,Toplitz Productions
180,Interplay Inc.
181,Subsoap
182,Two Tribes Publishing
183,NASA
184,Trion Worlds
185,DiezelPower
186,ZoopTEK
187,Sabi Games
188,"Arcen Games, LLC"
189,Makivision Games
190,Amanita Design
191,FireFly Studios
192,Devolver Digital
193,Nimbly Games
194,"Dream Forge Entertainment, LLC"
195,Runic Games
196,Positech Games
197,inXile Entertainment
198,LoadComplete
199,Fatshark
200,Instinct Software Ltd.
201,Signo & Arte
202,New Star Games Ltd
203,RaceRoom Entertainment AG
204,Cadenza Interactive
205,Artery Games
206,Gaijin Entertainment
207,Nemesys Games
208,Ludosity
209,Headup Games
210,Radon Labs
211,Headup
212,Microids
213,Headup Games 
214,Dedication Games
215,Factus Games
216,Playdead
217,Vanguard Entertainment Group
218,Wizards of the Coast LLC
219,Cold Beam Games
220,Muse Games
221,Beatnik Games
222,Noumenon Games
223,P2 Games
224,Blendo Games
225,Over the Top Games
226,Doctor Entertainment AB
227,Stickmen Studios
228,Brawsome
229,Binary Takeover
230,Eugen Systems
231,Source Studio Ltd.
232,4sdk
233,YeaBoing
234,Cipher Prime Studios
235,Secret Exit Ltd.
236,Capybara Games
237,Firemint
238,OneBigGame
239,Big Sandwich Games
240,Uber Entertainment
241,Ronimo Games
242,Cyan Worlds
243,Gaijin Games
244,Lunar Giant Studios
245,Libredia
246,Libredia Entertainment
247,Giants Software
248,React Games
249,Trendy Entertainment
250,Dmytry Lavrov
251,800 North and Digital Ranch
252,exosyphen studios
253,Youdagames
254,Terry Cavanagh
255,Carpe Fulgur LLC
256,Grendel Games
257,Blind Mind Studios
258,StarWraith 3D Games LLC
259,Eyebrow Interactive
260,Tomkorp Computer Solutions Inc.
261,Clara Lehenaff
262,Slitherine Ltd.
263,BlueGiant Interactive
264,Red Redemption
265,Wadjet Eye Games
266,Relentless Software
267,11 bit studios
268,Coffee Stain Publishing
269,Streum On Studio
270,NinjaBee
271,NinjaBee.com
272,Next Dimension Game Adventures Ltd.
273,Dark Energy Digital Ltd.
274,Geoff 'Zag' Keene
275,Rockin' Android
276,Extend Studio
277,Copenhagen Game Productions
278,"WXP Games, LLC"
279,Zachtronics
280,Puppygames
281,Stout Games
282,Final Form Games
283,The Sleeping Machine
284,Messhof
285,SpikySnail
286,Alientrap
287,Sparpweed
288,Peter Brinson and Kurosh ValaNejad
289,Games Farm
290,Colibri Games
291,Fish Factory Games
292,Kot in Action Creative Artel
293,IllFonic
294,Fire Hose Games
295,Murudai
296,TimeGate Studios
297,Krystian Majewski
298,Mode 7
299,Microsoft Studios
300,Good Shepherd Entertainment
301,Immanitas Entertainment GmbH
302,Zeroscale
303,"Gaslamp Games, Inc."
304,Digital Dragon
305,"Nicalis, Inc."
306,"Grey Havens, LLC"
307,Pilgway
308,Mystic Box
309,Michael Brough
310,38 Studios
311,Robot Entertainment
312,Vanguard Games
313,Cobra Mobile
314,Jason Rohrer
315,Big Fat Alien
316,DANKIE
317,Daedalic Entertainment
318,State of Play Games
319,Manic Game Studios
320,Re-Logic
321,Secret Base
322,Q-Games Ltd.
323,Supergiant Games
324,MinMax Games Ltd.
325,Zeboyd Games
326,Squid In A Box Ltd
327,Days of Wonder
328,IndiePub
329,The Indie Stone
330,Remedy Entertainment
331,Endlessfluff Games
332,Pixelante Game Studios
333,Hazardous Software Inc.
334,White Rabbit Interactive
335,Pom Pom Games
336,PomPom Games
337,Total Eclipse
338,Total Eclipse P.C.
339,Owlchemy Labs
340,NGD Studios
341,Spiderweb Software
342,Pocketwatch Games
343,Edmund McMillen
344,Little Orbit
345,D-Pad Studio
346,Eclipse Games
347,Interplay Entertainment Corp.
348,Deca Games
349,Unigine Corp.
350,"Bit Planet Games, LLC"
351,Dark Artz Entertainment
352,Desert Owl Games LLC
353,Stardock Entertainment
354,Two Tribes
355,Ripstone
356,Bethesda-Soft
357,BANDAI NAMCO Entertainment
358,Charlie's Games
359,Longbow Games
360,"Hassey Enterprises, Inc."
361,Bootsnake Games
362,Nyu Media
363,Eden Industries
364,Retro Affect
365,The Quantum Astrophysicists Guild
366,The Behemoth
367,RichMakeGame
368,Rocket Bear Games
369,"Vblank Entertainment, Inc."
370,UTV Ignition Entertainment
371,State of Play Games 
372,UL
373,Sakari Games
374,Brandon Brizzi
375,Black Pants Studio
376,Suspicious Developments
377,"NIS America, Inc."
378,DrinkBox Studios
379,Freebird Games
380,"Standing Stone Games, LLC"
381,Carbon Games
382,BlinkWorks Media
383,tinyBuild
384,Almost Human Games
385,Codebrush Games
386,3 Sprockets 
387,XSEED Games
388,Tribute Games Inc.
389,David Williamson
390,Joakim Sandberg
391,increpare games
392,Misfits Attic
393,Big Robot Ltd
394,Just a Game
395,Empty Clip Studios
396,Shovsoft
397,Gaijin Entertainment Corporation
398,Puppy Punch Productions
399,Capcom Co. Ltd
400,"Capcom U.S.A., Inc."
401,Curve Digital
402,Doublesix Games
403,Love Conquers All Games
404,Bigben Interactive
405,The Binary Mill
406,Born Ready Games
407,Pantera Entertainment
408,"Data Realms, LLC"
409,Subatomic Studios LLC
410,Superflat Games
411,Jet Set Games
412,Spry Fox LLC
413,Spaces of Play
414,Human Head Studios
415,"Thekla, Inc."
416,Teotl Studios
417,Spooky Squid Games Inc.
418,Hanako Games
419,Kyle Pulver
420,Smudged Cat Games Ltd
421,Sector3 Studios
422,Chucklefish
423,Black Market Games
424,Illwinter Game Design
425,Evolved Games
426,bitComposer Games
427,Qooc Software
428,Turtle Cream
429,NEXON Korea Corp. & NEXON America Inc.
430,Webzen
431,Subset Games
432,Crankshaft Games
433,New Star Games
434,Vlambeer
435,"Penny Arcade, Inc."
436,Warner Bros. Interactive Entertainment 
437,BitSits Games
438,Engient
439,IPACS
440,Larian Studios
441,SuperVillain Studios
442,Aspyr 
443,Marvelous
444,Aleksey Abramenko
445,Ankama Games
446,Mad Catz
447,Reverb Triple XP
448,Reverb Publishing
449,NeocoreGames
450,stealth.gg
451,Benjamin Rivers Inc.
452,Okugi Sudio
453,Topware Interactive ACE
454,En Masse Entertainment
455,Fire hose Games
456,Camel101 LLC
457,Nexon America Inc.
458,Big Ant Studios
459,Rubicon Development
460,Apogee Software
461,DotEmu
462,2x2 Games
463,Level Up Labs
464,Starbreeze Publishing AB
465,Shiver Games
466,Might and Delight
467,Keen Software House
468,Versus Evil
469,Torn Banner Studios
470,Twisted Tree
471,Transhuman Design
472,Demruth
473,Crate Entertainment
474,SkyGoblin
475,Private Division 
476,Degica
477,Bithell Games
478,Exor Studios
479,Sos Sosowski
480,SMP
481,Omni Systems
482,Tomorrow Corporation
483,505 Games
484,Galactic Cafe
485,Neko Entertainment
486,Red Fly Studio
487,SNK CORPORATION
488,Abbey Games
489,New World Interactive
490,CSR-Studios
491,Zeptolab UK Limited
492,Gamestorm Ltd
493,Shawn McGrath
494,Running With Scissors
495,ioneo
496,IonFX Studios
497,Team Psykskallar
498,The Fighter Collection
499,Goldhawk Interactive
500,Blackbird Interactive
501,Lever Games
502,Young Horses
503,Robotronic Games
504,PopCap
505,Trapdoor
506,Adult Swim Games
507,Over The Top Games
508,Puny Human
509,Sven Co-op Team
510,QCF Design
511,Radial Games Corp
512,Kasedo Games
513,Minority Media
514,Badland Studio
515,Tiger Style
516,Artifice Studio
517,SCS Software
518,Digital Leisure Inc.
519,Bitbox S.L.
520,EightyEightGames
521,Sauropod Studio
522,RETO MOTO
523,Beamdog
524,3 Sprockets
525,17-BIT
526,HyperSloth
527,Hello Games
528,Going Loud Studios
529,Iron Tower Studio
530,Northway Games
531,Brightrock Games
532,Metanet Software Inc.
533,Giant Army
534,Spicy Horse
535,Digital Extremes
536,Fish Eagle
537,AGM PLAYISM
538,Internal Games
539,Zombie Studios
540,Droqen's Games
541,Eko Software
542,Threaks
543,Facepalm Games
544,Cardboard Computer
545,Santa Ragione
546,Lucky Frame
547,Snowbird Games
548,Fullbright
549,Kuno Interactive
550,Lupus Studios Limited
551,Climax Group
552,Geoff Keighley
553,Shiro Games
554,Boss Baddie
555,The Digital Lounge
556,Refract
557,Bossa Studios
558,The Men Who Wear Many Hats
559,Lo-Fi Games
560,@unepic_fran
561,Konami Digital Entertainment
562,Crocodile Entertainment
563,D3 Go!
564,Digital Tribe
565,Slightly Mad Studios
566,Treexy
567,Analgesic Productions
568,The Secret Experiment
569,Nival
570,Laboratory Systems
571,Ludochip
572,Dylan Fitterer
573,I-Illusions
574,Swing Swing Submarine
575,March Entertainment
576,Zero Point Software
577,United Independent Entertainment GmbH
578,astragon Entertainment
579,KOG Games
580,KING Art
581,Screenwave Media
582,Red Thread Games
583,Pathea Games
584,Ghostlight LTD
585,Nightdive Studios
586,FarSight Studios
587,Red Barrels
588,"Monochrome, Inc"
589,Grinding Gear Games
590,3909
591,Crackshell
592,Maxistentialism
593,Toxic Games
594,Ian Campbell
595,Greenheart Games
596,DoubleBear Productions
597,OVALIS INVESTMENTS LIMITED
598,Plug In Digital
599,Bennett Foddy
600,Conifer Games
601,Top Meadow
602,Zen Studios
603,Cellar Door Games
604,The Bitmap Brothers
605,Full Control
606,"Masangsoft, Inc."
607,Endnight Games Ltd
608,Phoenix Online Publishing
609,Carlsen Games
610,Indomitus Games
611,M2H
612,Shining Rock Software LLC
613,Blackpowder Games
614,Untame
615,Phosfiend Systems
616,Tate Multimedia
617,Double Eleven
618,1C-777
619,Gearbox Publishing
620,Kunos Simulazioni
621,Cyan Worlds 
622,Dead Shark Triplepunch
623,Iron Galaxy
624,Team Colorblind
625,"Schine, GmbH"
626,Wingware
627,Michael Todd Games
628,Lucky Pause
629,Crytek
630,Die Gute Fabrik
631,Disney Interactive
632,"Gamepot, Inc."
633,Ironhide Game Studio
634,Ndemic Creations
635,Ragequit Corporation
636,"Moonshark, Inc."
637,ShadowShifters
638,Aterdux Entertainment
639,Chainsawesome Games
640,"Vex Studios, LLC"
641,WildTangent
642,Commotion Games Pty Ltd
643,RuneStorm
644,Impromptu Games
645,Asmodee Digital
646,Vertigo Gaming Inc.
647,Brace Yourself Games
648,Rising Star Games
649,"Nether Productions, LLC"
650,Positech
651,Clickteam
652,Songquito UG
653,GalaxyTrail
654,Pixeljam
655,North of Earth
656,Black Maple Games
657,Saibot Studios
658,Biart Company LLC
659,Team Reptile
660,KillHouse Games
661,Flyleap Studios Pty. Ltd.
662,Hitcents
663,Dischan Media
664,Blue Bottle Games
665,Screwfly Studios
666,Silk Games
667,Rain Games
668,Evolutionary Games
669,BetaDwarf
670,Infinite Monkeys Entertainment Ltd.
671,FullPowerSideAttack.com
672,Witch Beam
673,Necrophone Games
674,Step 1 Games LLC
675,Archive Entertainment
676,sparsevector
