,category
0,Multi-player
1,Single-player
2,Steam Workshop
3,Partial Controller Support
4,Online Multi-Player
5,Steam Cloud
6,Steam Leaderboards
7,MMO
8,Steam Trading Cards
9,Steam Achievements
10,Includes level editor
11,Shared/Split Screen
12,Co-op
13,Local Multi-Player
14,VR Support
15,Includes Source SDK
16,Full controller support
17,Captions available
18,Cross-Platform Multiplayer
19,Online Co-op
20,Stats
21,In-App Purchases
22,Local Co-op
23,Valve Anti-Cheat enabled
24,Commentary available
25,SteamVR Collectibles
26,Mods
27,Steam Turn Notifications
28,Mods (require HL2)
