,appid,genres
0,10,Action
1,20,Action
2,30,Action
3,40,Action
4,50,Action
5,60,Action
6,70,Action
7,80,Action
8,130,Action
9,220,Action
10,240,Action
11,280,Action
12,300,Action
13,320,Action
14,340,Action
15,360,Action
16,380,Action
17,400,Action
18,420,Action
19,440,Action
20,440,Free to Play
21,500,Action
22,550,Action
23,570,Action
24,570,Free to Play
25,570,Strategy
26,620,Action
27,620,Adventure
28,630,Action
29,730,Action
30,730,Free to Play
31,1002,Indie
32,1200,Action
33,1250,Action
34,1300,Action
35,1500,Indie
36,1500,Strategy
37,1510,Indie
38,1510,Strategy
39,1520,Indie
40,1520,Strategy
41,1530,Indie
42,1600,Strategy
43,1610,Strategy
44,1630,Strategy
45,1640,Strategy
46,1670,Strategy
47,1690,Strategy
48,1700,RPG
49,1840,Animation & Modeling
50,1840,Video Production
51,1900,Strategy
52,1930,RPG
53,2100,Action
54,2100,RPG
55,2200,Action
56,2210,Action
57,2270,Action
58,2280,Action
59,2290,Action
60,2300,Action
61,2310,Action
62,2320,Action
63,2330,Action
64,2340,Action
65,2350,Action
66,2360,Action
67,2370,Action
68,2390,Action
69,2400,Action
70,2400,Indie
71,2400,RPG
72,2450,Action
73,2500,Action
74,2520,Casual
75,2520,Indie
76,2590,Action
77,2600,Action
78,2610,Action
79,2620,Action
80,2630,Action
81,2640,Action
82,2710,Action
83,2720,Action
84,2720,Indie
85,2720,Strategy
86,2780,Action
87,2800,Strategy
88,2810,Strategy
89,2820,Action
90,2820,Simulation
91,2820,Strategy
92,2840,Simulation
93,2840,Strategy
94,2850,Simulation
95,2850,Strategy
96,2870,Action
97,2870,Simulation
98,2900,Strategy
99,2910,Strategy
100,2920,Strategy
101,2990,Racing
102,3010,Racing
103,3020,Action
104,3050,Racing
105,3130,Strategy
106,3170,RPG
107,3170,Strategy
108,3230,Strategy
109,3260,Adventure
110,3260,Casual
111,3270,Action
112,3330,Casual
113,3410,Casual
114,3480,Casual
115,3483,Casual
116,3490,Casual
117,3500,Casual
118,3510,Casual
119,3520,Casual
120,3530,Casual
121,3540,Casual
122,3560,Strategy
123,3560,Casual
124,3570,Casual
125,3580,Casual
126,3590,Strategy
127,3600,Casual
128,3610,Casual
129,3620,Action
130,3620,Casual
131,3700,Action
132,3710,Action
133,3720,Strategy
134,3730,Action
135,3800,Action
136,3810,Action
137,3820,Action
138,3830,Action
139,3900,Strategy
140,3910,Strategy
141,3920,RPG
142,3960,Strategy
143,3980,Strategy
144,3990,Strategy
145,4000,Indie
146,4000,Simulation
147,4100,Casual
148,4100,Strategy
149,4100,Indie
150,4230,Racing
151,4290,Racing
152,4300,Action
153,4300,Indie
154,4420,RPG
155,4460,Simulation
156,4460,Strategy
157,4470,RPG
158,4500,Action
159,4500,RPG
160,4520,Action
161,4520,Strategy
162,4530,Action
163,4530,Strategy
164,4560,Violent
165,4560,Action
166,4560,Strategy
167,4570,Strategy
168,4580,Strategy
169,4700,Strategy
170,4720,Action
171,4760,Strategy
172,4770,Strategy
173,4780,Strategy
174,4800,Strategy
175,4850,Strategy
176,4870,Strategy
177,4880,Strategy
178,4890,Strategy
179,4900,Casual
180,4900,Indie
181,4920,Action
182,4920,Indie
183,4920,Strategy
184,6000,Action
185,6010,Adventure
186,6020,Action
187,6030,Action
188,6040,Adventure
189,6060,Action
190,6080,Action
191,6080,Adventure
192,6080,Racing
193,6080,Simulation
194,6080,Strategy
195,6090,Action
196,6120,Action
197,6120,Indie
198,6200,Strategy
199,6210,Strategy
200,6220,Racing
201,6250,Action
202,6250,Strategy
203,6270,Racing
204,6300,Adventure
205,6300,RPG
206,6310,Action
207,6310,Adventure
208,6310,RPG
209,6370,Action
